pair_id,sku_uuid_a,sku_uuid_b,score,comp_source_store,base_source_store,segment,source,seller_type
amantadine-hci-suspension_1141_Fish<>cfspharmacy<>cfspharmacy-3443157<>petco<>petco,amantadine-hci-suspension_1141_Fish<>cfspharmacy<>cfspharmacy,3443157<>petco<>petco,0.859375,petco<>petco,cfspharmacy<>cfspharmacy,pets,ML,1p
amantadine-hci-suspension_1141_Fish<>cfspharmacy<>cfspharmacy-3443157<>petco<>petco,amantadine-hci-suspension_1141_Fish<>cfspharmacy<>cfspharmacy,3443157<>petco<>petco,1,petco<>petco,cfspharmacy<>cfspharmacy,pets,UPC,1p
amantadine-hci-suspension_1141_Fish<>cfspharmacy<>cfspharmacy-3443157<>petco<>petco,amantadine-hci-suspension_1141_Fish<>cfspharmacy<>cfspharmacy,3443157<>petco<>petco,1,petco<>petco,cfspharmacy<>cfspharmacy,pets,MPN,1p
amantadine-hci-suspension_1141_Fish<>cfspharmacy<>cfspharmacy-3443157<>petco<>petco,amantadine-hci-suspension_1141_Fish<>cfspharmacy<>cfspharmacy,3443157<>petco<>petco,1,petco<>petco,cfspharmacy<>cfspharmacy,pets,TRANSITIVE,1p
amantadine-hci-suspension_1141_Venison<>cfspharmacy<>cfspharmacy-3443157<>petco<>petco,amantadine-hci-suspension_1141_Venison<>cfspharmacy<>cfspharmacy,3443157<>petco<>petco,0.87109375,petco<>petco,cfspharmacy<>cfspharmacy,pets,ML,1p
amantadine-hci-suspension_1141_Venison<>cfspharmacy<>cfspharmacy-3443157<>petco<>petco,amantadine-hci-suspension_1141_Venison<>cfspharmacy<>cfspharmacy,3443157<>petco<>petco,1,petco<>petco,cfspharmacy<>cfspharmacy,pets,UPC,1p
amantadine-hci-suspension_1141_Venison<>cfspharmacy<>cfspharmacy-3443157<>petco<>petco,amantadine-hci-suspension_1141_Venison<>cfspharmacy<>cfspharmacy,3443157<>petco<>petco,1,petco<>petco,cfspharmacy<>cfspharmacy,pets,MPN,1p
amantadine-hci-suspension_1141_Venison<>cfspharmacy<>cfspharmacy-3443157<>petco<>petco,amantadine-hci-suspension_1141_Venison<>cfspharmacy<>cfspharmacy,3443157<>petco<>petco,1,petco<>petco,cfspharmacy<>cfspharmacy,pets,TRANSITIVE,1p
amitriptyline-suspension_953_Unflavored<>cfspharmacy<>cfspharmacy-90000<>petmeds<>petmeds,amitriptyline-suspension_953_Unflavored<>cfspharmacy<>cfspharmacy,90000<>petmeds<>petmeds,1,petmeds<>petmeds,cfspharmacy<>cfspharmacy,pets,MPN,1p
amitriptyline-suspension_953_Unflavored<>cfspharmacy<>cfspharmacy-90000<>petmeds<>petmeds,amitriptyline-suspension_953_Unflavored<>cfspharmacy<>cfspharmacy,90000<>petmeds<>petmeds,1,petmeds<>petmeds,cfspharmacy<>cfspharmacy,pets,TRANSITIVE,1p
amitriptyline-suspension_959_Chicken<>cfspharmacy<>cfspharmacy-amit10tab<>californiapetpharmacy<>californiapetpharmacy,amitriptyline-suspension_959_Chicken<>cfspharmacy<>cfspharmacy,amit10tab<>californiapetpharmacy<>californiapetpharmacy,0.78515625,californiapetpharmacy<>californiapetpharmacy,cfspharmacy<>cfspharmacy,pets,ML,1p
amitriptyline-suspension_959_Chicken<>cfspharmacy<>cfspharmacy-amit10tab<>californiapetpharmacy<>californiapetpharmacy,amitriptyline-suspension_959_Chicken<>cfspharmacy<>cfspharmacy,amit10tab<>californiapetpharmacy<>californiapetpharmacy,1,californiapetpharmacy<>californiapetpharmacy,cfspharmacy<>cfspharmacy,pets,UPC,1p
amitriptyline-suspension_959_Fish<>cfspharmacy<>cfspharmacy-260614<>petsupplies4less<>petsupplies4less,amitriptyline-suspension_959_Fish<>cfspharmacy<>cfspharmacy,260614<>petsupplies4less<>petsupplies4less,0.94140625,petsupplies4less<>petsupplies4less,cfspharmacy<>cfspharmacy,pets,ML,1p
amitriptyline-suspension_959_Fish<>cfspharmacy<>cfspharmacy-260614<>petsupplies4less<>petsupplies4less,amitriptyline-suspension_959_Fish<>cfspharmacy<>cfspharmacy,260614<>petsupplies4less<>petsupplies4less,1,petsupplies4less<>petsupplies4less,cfspharmacy<>cfspharmacy,pets,MPN,1p
amitriptyline-suspension_959_Liver<>cfspharmacy<>cfspharmacy-260614<>petsupplies4less<>petsupplies4less,amitriptyline-suspension_959_Liver<>cfspharmacy<>cfspharmacy,260614<>petsupplies4less<>petsupplies4less,0.984375,petsupplies4less<>petsupplies4less,cfspharmacy<>cfspharmacy,pets,ML,1p
amitriptyline-suspension_959_Liver<>cfspharmacy<>cfspharmacy-90004<>petmeds<>petmeds,amitriptyline-suspension_959_Liver<>cfspharmacy<>cfspharmacy,90004<>petmeds<>petmeds,1,petmeds<>petmeds,cfspharmacy<>cfspharmacy,pets,UPC,1p
amantadine-hci-suspension_1141_Beef/Chicken<>cfspharmacy<>cfspharmacy-3443157<>petco<>petco,amantadine-hci-suspension_1141_Beef/Chicken<>cfspharmacy<>cfspharmacy,3443157<>petco<>petco,1,petco<>petco,cfspharmacy<>cfspharmacy,pets,UPC,1p
amitriptyline-suspension_959_Beef<>cfspharmacy<>cfspharmacy-90011<>petmeds<>petmeds,amitriptyline-suspension_959_Beef<>cfspharmacy<>cfspharmacy,90011<>petmeds<>petmeds,0.91015625,petmeds<>petmeds,cfspharmacy<>cfspharmacy,pets,ML,1p
amitriptyline-suspension_959_Fish<>cfspharmacy<>cfspharmacy-90011<>petmeds<>petmeds,amitriptyline-suspension_959_Fish<>cfspharmacy<>cfspharmacy,90011<>petmeds<>petmeds,0.984375,petmeds<>petmeds,cfspharmacy<>cfspharmacy,pets,ML,3p
1360465719<>instacart<>acmemarkets-8157682<>shipt<>jewelosco,1360465719<>instacart<>acmemarkets,8157682<>shipt<>jewelosco,1,shipt<>jewelosco,instacart<>acmemarkets,grocery,UPC,1p
1360465719<>instacart<>acmemarkets-8157682<>shipt<>jewelosco,1360465719<>instacart<>acmemarkets,8157682<>shipt<>jewelosco,0.81234,shipt<>jewelosco,instacart<>acmemarkets,grocery,ML,1p
1358076533<>instacart<>acmemarkets-7188417<>shipt<>harristeeter,1358076533<>instacart<>acmemarkets,7188417<>shipt<>harristeeter,0.98804,shipt<>harristeeter,instacart<>acmemarkets,grocery,ML,1p
1358076533<>instacart<>acmemarkets-7188417<>shipt<>harristeeter,1358076533<>instacart<>acmemarkets,7188417<>shipt<>harristeeter,1,shipt<>harristeeter,instacart<>acmemarkets,grocery,UPC,1p
